Spell Name	Level	Class(es)	School	Casting Time	Range	Target/Area	Component(s)	Concentration	Duration	Attack/Saving Throw (Effect)	DAM Type	Damage/Heal	Additional Detail
Healing Word	1	Bard, Cleric, Druid	Evocation	1 bonus action	60 ft.	1 creature			Instantaneous				Target HEAL 1d4 + spellcasting ability. No effect on constructs/undead.
Cone of Cold	5	Druid(Arctic), Sorcerer, Wizard	Evocation	1 action	Self	60 ft. cone	crystal or glass cone		Instantaneous	CON (Half DAM)	Cold	DAM: 8d8	Creatures killed become frozen statues.
Phantasmal Force	2	Bard, Sorcerer, Wizard	Illusion	1 action	60 ft.	1 creature	bit of fleece	1	1 minute	INT (Fail)			Affect target with illusion. Can DAM for 1d6 Psychic. See Sourcebook.
Dispel Evil and Good	5	Cleric, Paladin	Abjuration	1 action	Self	Self	holy water or silver/iron powder	1	1 minute				Fey,undead,extraplanar creatures have disadvantaged attacks. See Sourcebook.
Planar Binding	5	Bard, Cleric, Druid, Wizard	Abjuration	1 hour	60 ft.	1 extraplanar creature	JEWEL		24 hours	CHA (Fail)			Bind celestial, elemental, fey, or fiend to serve you for spell duration.
Spike Growth	2	Cleric(Nature), Druid, Ranger	Transmutation	1 action	150 ft.	20 ft. radius	7 sharp thorns or twigs	1	10 minutes				Difficult terrain. Moving into or within area takes 2d4 piercing DAM per 5 ft.
Harm	6	Cleric	Necromancy	1 action	60 ft.	1 creature			Instantaneous	CON (Half DAM)	Necrotic	DAM: 14d6	Max HP reduced by same amount as DAM. Target cannot fall below 1 HP.
Shield	1	Sorcerer, Wizard	Abjuration	1 reaction (on hit by attack/magic missile)	Self	Self			1 round				Gain +5 bonus to AC, including triggering attack. Negates Magic Missile attacks.
Feather Fall	1	Bard, Sorcerer, Wizard	Transmutation	1 reaction (falling)	60 ft.	<= 5 falling creatures	small feather or piece of down		1 minute				Targets' descent slows to 60 ft. per round, takes no DAM, and can land on feet.
Zone of Truth	2	Bard, Cleric, Paladin	Enchantment	1 action	60 ft.	15 ft. radius sphere			10 minutes	CHA (Fail)			You know which fail saves. They can't lie but know of spell and can be evasive.
Create Food and Water	3	Cleric, Druid(Desert), Paladin	Conjuration	1 action	30 ft.				Instantaneous				Create 45 lbs. of bland, nourishing food for 24 hours and 30 gallons of water.
Sequester	7	Wizard	Transmutation	1 action	Touch	1 willing creature or object	GEM POWDER		Until Dispelled				Hide target from detection, falls into suspended animation. Condition can end it.
Acid Splash	0	Sorcerer, Wizard	Conjuration	1 action	60 ft.	1 or 2 adjacent targets			Instantaneous	DEX (Fail)	Acid	DAM: 1d6	DAM: Add extra 1d6 at 5th level, 11th level, and 17th level.
Create or Destroy Water	1	Cleric, Druid	Transmutation	1 action	30 ft.	10 gal. water/30 ft. cube of fog	drop of water/sand		Instantaneous				Create/destroy 10 gal. of water or 30 ft. cube of rain/fog.
Darkvision	2	Druid, Ranger, Sorcerer, Wizard	Transmutation	1 action	Touch	1 willing creature	dried carrot or agate		8 hours				Grants creature darkvision (60 ft.) but can't see in Darkness aura.
Druidcraft	0	Cleric(Nature), Druid	Transmutation	1 action	30 ft.	See Sourcebook.			Instantaneous				Create minor druidic effect. See Sourcebook.
Meteor Swarm	9	Sorcerer, Wizard	Evocation	1 action	1 mile	40 ft. radius sphere			Instantaneous	DEX (Half DAM)	Fire+Bludgeoning	DAM20d6+20d6	Also damages objects and ignites flammable objects.
Clone	8	Wizard	Necromancy	1 hour	Touch		See Sourcebook.		Instantaneous				Create clone of living person; soul transfers to clone if original dies.
Lightning Arrow	3	Ranger, Sorcerer	Transmutation	1 bonus action	Self	1 target		1	1 minute	Ranged Weapon Attack.	Lightning	DAM: 4d8	Creatures within 10 ft. of initial target also take 2d8 DAM (DEX save for half).
Message	0	Bard, Sorcerer, Wizard	Transmutation	1 action	120 ft.	1 creature in range	piece of copper wire		1 round				Point at target and whisper a message. They can whisper a response.
Programmed Illusion	6	Bard, Wizard	Illusion	1 action	120 ft.	30 ft. cube	fleece, jade dust		Until Dispelled				Create illusion that performs specific action triggered by specific action.
Dominate Monster	8	Bard, Sorcerer, Warlock, Wizard	Enchantment	1 action	60 ft.	1 creature		1	1 hour	WIS (Fail)			Charm monster to give it commands. Has advantage to save if attacking it.
Commune with Nature	5	Druid, Paladin(Ancients), Ranger	Divination	1 minute	Self				Instantaneous				Gain knowledge of the land around you. See Sourcebook.
Arcane Gate	6	Sorcerer, Warlock, Wizard	Conjuration	1 action	500 ft.	Point(10ft),Point(500ft.)		1	10 minutes				Create two linked portals 10ft. across anybody can travel between.
Conjure Elemental	5	Druid, Wizard	Conjuration	1 minute	90 ft.		See Sourcebook	1	1 hour				Summon elemental CR <= 5. Obeys commands. Hostile if control is lost.
Continual Flame	2	Cleric, Wizard	Evocation	1 action	Touch	1 object	RUBY DUST		Until Dispelled				Heatless flame comes from object. Can be covered but not snuffed out.
Comprehend Languages	1	Bard, Sorcerer, Warlock, Wizard	Divination	1 action	Self		pinch of soot and salt		1 hour				Know literal meaning of any speech. Understand written words while touching.
Blur	2	Druid(Desert), Sorcerer, Wizard	Illusion	1 action	Self	Self		1	1 minute				Creatures relying on sight have disadvantage to attack.
Silent Image	1	Bard, Sorcerer, Wizard	Illusion	1 action	60 ft.	15 ft. cube	bit of fleece	1	10 minutes				Create visual-only illusion. Use action to make it move. Investigation to discover.
Call Lightning	3	Cleric(Tempest), Druid	Conjuration	1 action	120 ft.	60 ft. radius cylinder		1	10 minutes	DEX (Half DAM)	Lightning	DAM: 3d10	Targets take DAM each round. Can change targets each round.
Moonbeam	2	Druid, Paladin(Ancients)	Evocation	1 action	120 ft.	5 ft. rad. 40 ft. high cylinder	moonseed seeds, feldspar	1	1 minute	CON (Half DAM)	Radiant	DAM: 2d10	DAM taken entering/start turn in beam. Shapechanges disadvantage to save.
Magic Circle	3	Cleric, Paladin, Warlock, Wizard	Abjuration	1 minute	10 ft.	10 ft. rad., 20 ft. high cylinder	HOLY WATER or Fe/Ag DUST		1 hour				Hinder one creature type within cylinder. See Sourcebook.
Raise Dead	5	Bard, Cleric, Paladin	Necromancy	1 hour	Touch	1 dead creature	DIAMOND		Instantaneous				Return target to life with 1 HP. See Sourcebook.
Heal	6	Cleric, Druid	Evocation	1 action	60 ft.	1 creature			Instantaneous			HEAL: 70	Ends blindness, deafness, any diseases. No effect on constructs/undead.
Enthrall	2	Bard, Warlock	Enchantment	1 action	60 ft.	Any targets in range			1 minute	WIS (Fail)			Disadvantage to see anybody but you; attacked ones have advantage to save.
Ray of Enfeeblement	2	Cleric(Death), Warlock, Wizard	Necromancy	1 action	60 ft.	1 creature in range		1	1 minute	Ranged Spell Attack			Target deals 1/2 DMG with STR weapon attacks. CON save to end at turn's end.
Control Water	4	Cleric, Druid, Wizard	Transmutation	1 action	300 ft.	100 ft. cube	water drop, pinch of dust	1	10 minutes				Control water. See Sourcebook.
Stone Shape	4	Cleric, Druid, Wizard	Transmutation	1 action	Touch	5 ft. cube	soft clay in desired shape		Instantaneous				Reshape stone into any rough shape you wish.
Conjure Fey	6	Druid, Warlock	Conjuration	1 minute	90 ft.			1	1 hour				Summon fey CR <= 6. Obeys commands. Hostile if control is lost.
Flaming Sphere	2	Cleric(Light), Druid, Wizard	Conjuration	1 action	60 ft.	5 ft. diameter sphere	tallow,brimstone,iron powder	1	1 minute	DEX (Half DAM)	Fire	DAM: 2d6	Creatures next to spheres at end of turn take DAM. Move spheres 30 ft.
Phantasmal Killer	4	Wizard	Illusion	1 action	120 ft.	1 creature		1	1 minute	WIS (Fail)	Psychic	DAM: 4d10	Target is frightened and takes DAM at start of turn if it doesn't save.
Magic Weapon	2	Cleric(War), Paladin, Wizard	Transmutation	1 bonus action	Touch	1 nonmagical weapon		1	1 hour				Nonmagical weapon becomes +1.
Fire Shield	4	Wizard	Evocation	1 action	Self	Self	bit of phosphorous or a firefly		10 minutes		Fire/Cold	DAM: 2d8	Choose warm or chill shield. Melee attackers take DMG. Light out 10 ft./20 ft.
Find Traps	2	Cleric, Druid, Ranger	Divination	1 action	120 ft.	Any trap in range			Instantaneous				Sense the presence (not location) of any magical or mundane trap nearby.
Identify	1	Bard, Cleric(Knowledge), Wizard	Divination	1 minute	Touch	1 object	pearl, owl feather		Instantaneous				Learn what an item is and what spells affect it.
Aura of Life	4	Paladin	Abjuration	1 action	Self	30 ft. radius		1	10 minutes				Gain necrotic resistance, HEAL 1 HP if at 0 HP, HP max can't go down.
Sleet Storm	3	Cleric(Tempest), Druid, Sorcerer, Wizard	Conjuration	1 action	150 ft.	40 ft. rad. 20 ft. tall cylinder	pinch of dust, drops of water	1	1 minute	DEX (Fail)			Difficult terrain.Each turn,DEX save or fall prone,CON save or lose concentration.
Alarm	1	Ranger, Wizard	Abjuration	1 minute	30 ft.	1 door/window/area	tiny bell, silver wire		8 hours				Audible or silent alarm triggered on entry by those you haven't said can enter
Wall of Thorns	6	Druid	Conjuration	1 action	120 ft.	See Sourcebook.	handful of thorns	1	10 minutes	DEX (Half DAM)	Piercing	DAM: 7d8	Move through wall at 1/4 speed and take 7d8 slashing DAM (DEX save for half).
True Strike	0	Bard, Sorcerer, Warlock, Wizard	Divination	1 action	30 ft.	1 creature		1	1 round				Next turn you gain advantage on first attack against the target.
Blink	3	Cleric(Trickery), Sorcerer, Wizard	Transmutation	1 action	Self	Self			1 minute				Roll 11 or higher to go to Ethereal plane between turns; reapper within 10ft.
Swift Quiver	5	Ranger	Transmutation	1 bonus action	Touch	Spell component	quiver with at least 1 ammo	1	1 minute				Quiver produces endless ammo.Use bonus action for 2 attacks using ammo.
Teleportation Circle	5	Bard, Sorcerer, Wizard	Conjuration	1 minute	10 ft.	10 ft. diameter circle	CHALK & INK mixed with gems		1 round				Any stepping inside circle teleport to permanent teleportation circle.
Jump	1	Druid, Ranger, Sorcerer, Wizard	Transmutation	1 action	Touch	1 creature	grasshopper's hind leg		1 minute				Target's jump distance tripled until spell ends.
Mordenkainen's Magnificent Mansion	7	Bard, Wizard	Conjuration	1 minute	300 ft.		portal(5),marble(5),spoon(5)		24 hours				Summon portal to 50000 cubic ft. mansion with food for 100 people.
Flesh to Stone	6	Warlock, Wizard	Transmutation	1 action	60 ft.	1 creature	pinch of lime, water, and earth	1	1 minute	CON (Fail)			Restrained on first fail. Petrified after 3 fails.
Arcane Eye	4	Cleric(Knowledge), Wizard	Divination	1 action	30 ft.		a bit of bat fur	1	1 hour				Create invisible eye with darkvision(30ft) moves 30ft/rd you can see through.
Destructive Wave	5	Cleric(Tempest), Paladin	Evocation	1 action	Self	30 ft. radius			Instantaneous	CON (Half DAM, not prone)	See Details	DAM: 5d6+5d6	Targets in circle take thunder DAM, then radiant or necrotic DAM; go prone.
Crusader's Mantle	3	Cleric(War), Paladin	Evocation	1 action	Self	30 ft. radius		1	1 minute				Nonhostiles in aura deal an extra 1d4 radiant DAM.
Greater Restoration	5	Bard, Cleric, Druid	Abjuration	1 action	Touch	1 creature	DIAMOND DUST		Instantaneous				End a debilitating effect on target. See Sourcebook.
True Seeing	6	Bard, Cleric, Sorcerer, Warlock, Wizard	Divination	1 action	Touch	1 willing creature	OINTMENT FOR EYES		1 hour				Target creature gains truesight, sees secret doors, Ethereal Plane. Range 120 ft.
Prayer of Healing	2	Cleric	Evocation	10 minutes	30 ft.	<= 6 creatures you choose			Instantaneous			See Details.	Targets HEAL 2d8 + casting ability modifier HP. No effect on undead/constructs.
Expeditious Retreat	1	Sorcerer, Warlock, Wizard	Transmutation	1 bonus action	Self	Self		1	10 minutes				You can take Dash as a bonus action until spell ends.
Hunger of Hadar	3	Warlock	Conjuration	1 action	150 ft.	20 ft. radius sphere	pickled octopus tentacle	1	1 minute				Start turn in area: 2d6 cold DAM.End turn in area: DEX save or 2d6 acid DAM.
Wish	9	Sorcerer, Wizard	Conjuration	1 action	Self	Self			Instantaneous				Replicate and spell <= 8th level or other powerful effect granted. See Sourcebook.
Glyph of Warding	3	Bard, Cleric, Wizard	Abjuration	1 hour	Touch	See Sourcebook.	incense, DIAMOND POWDER		Dispel/Triggered				Create a magical trap. See Sourcebook.
Insect Plague	5	Cleric, Druid, Sorcerer	Conjuration	1 action	300 ft.	20 ft. radius sphere	bit of sugar, grain, and fat	1	10 minutes	CON (Half DAM)	Piercing	DAM: 4d10	Targets make save when swarm created or entering or exiting it.
Shapechange	9	Druid, Wizard	Transmutation	1 action	Self	Self	jade circlet	1	1 hour				Assume the form of a different creature. See Sourcebook.
Wrathful Smite	1	Paladin	Evocation	1 bonus action	Self	1 creature		1	1 minute	Melee Weapon Attack	Psychic	DAM: 1d6	Target hit also makes WIS save or is frightened. WIS save to end effect.
Foresight	9	Bard, Druid, Warlock, Wizard	Divination	1 minute	Touch	1 willing creature	hummingbird feather		8 hours				Not surprised. Advantage:attacks,checks,saves. Disadvantage getting attacked.
Otto's Irresistable Dance	6	Bard, Wizard	Enchantment	1 action	30 ft.	1 creature		1	1 minute				No movement.Disadvantage on DEX saves and attacks.Use action to WIS save.
Antipathy/Sympathy	8	Druid, Wizard	Enchantment	1 hour	60 ft.	1 Huge or smaller target	lump of alum or honey		10 days	WIS (Fail)			Target object/creature attracts or repels specifc creature types.
Knock	2	Bard, Sorcerer, Wizard	Transmutation	1 action	60 ft.	1 openable object			Instantaneous				Open mundane lock or suppress an Arcane Lock for 10 minutes. Loud knock.
Remove Curse	3	Cleric, Paladin, Warlock, Wizard	Abjuration	1 action	Touch	1 creature or object			Instantaneous				Remove curse creature or break object's curse attunement to any target.
Mordenkainen's Faithful Hound	4	Wizard	Conjuration	1 action	30 ft.		silver whistle, bone, thread		8 hours		Piercing	DAM: 4d8	Spectral hound guards area and can attack hostiles. See Sourcebook.
Thorn Whip	0	Cleric(Nature), Druid	Transmutation	1 action	30 ft.		stem of thorny plant		Instantaneous	Melee Spell Attack	Piercing	DAM: 1d6	Pulled 10 ft to root. DAM increase. 5th level: 2d6, 11th level: 3d6, 17th level: 4d6.
Lightning Bolt	3	Druid(Mountain), Sorcerer, Wizard	Evocation	1 action	Self	100 ft. line	bit of fur and glass rod		Instantaneous	DEX (Half DAM)	LIghtning	DAM: 8d6	Lightning ignites flammable objects.
Stoneskin	4	Cleric(War), Druid, Paladin(Ancients), Ranger, Sorcerer, Wizard	Abjuration	1 action	Touch	1 willing creature	DIAMOND DUST	1	1 hour				Target gains resistance to nonmagical bludgeoning, piercing, and slashing DMG.
Locate Object	2	Bard, Cleric, Druid, Paladin, Ranger, Wizard	Divination	1 action	Self	1 object familiar to you	forked twig	1	10 minutes				Sense object direction within 1000 ft. or locate it within 30 ft.
Cloudkill	5	Cleric(Death), Druid(Underdark), Sorcerer, Wizard	Conjuration	1 action	120 ft.	20 ft. radius sphere		1	10 minutes	CON (Half DAM)	Poison	DAM: 5d8	DAM taken on entering or starting turn in area. Fog moves away 10 ft. per turn.
Wind Wall	3	Cleric(Nature), Druid, Ranger	Evocation	1 action	120 ft.	See Sourcebook.	tiny fan and exotic feather	1	1 minute	STR (Half DAM)	Bludgeoning	DAM: 3d8	Strong wind keeps gases, flying creatures, projectiles, gaseous creatures away.
Compelled Duel	1	Paladin	Enchantment	1 bonus action	30 ft.	1 creature		1	1 minute	WIS (Fail)			Compel target to attack you one-on-one. See Sourcebook.
Clairvoyance	3	Bard, Cleric, Sorcerer, Wizard	Divination	10 minutes	1 mile		jeweled horn or glass eye	1	10 minutes				Create sensor in area you can see or hear through.
Cordon of Arrows	2	Ranger	Transmutation	1 action	5 ft.	Spell components	4 pieces of ammo		8 hours	DEX (Fail)	Piercing	DAM: 1d6	Ammo fired at creatures within 30 ft. Spell ends when ammo gone.
Staggering Smite	4	Paladin	Evocation	1 bonus action	Self	Self		1	1 minute	Melee Weapon Attack	Psychic	DAM: 4d6	WIS save or disadvantage on attack & ability checks; can't take reactions.
Crown of Madness	2	Bard, Paladin(Oathbreaker), Sorcerer, Warlock, Wizard	Enchantment	1 action	120 ft.	1 humanoid		1	1 minute	WIS every turn (Fail)			Charm humanoid to attack your target of choice. Use action to keep control.
Astral Projection	9	Cleric, Warlock, Wizard	Necromancy	1 hour	10 ft.	Self and 8 willing targets	JACINTH(1k), SILVER(100)		Special				Project to Astral Plane. See Sourcebook.
Imprisonment	9	Warlock, Wizard	Abjuration	1 minute	30 ft.	1 creature	See Sourcebook.		Until Dispelled	WIS (Fail)			Magically restrain a creature. See sourcebook.
Silence	2	Bard, Cleric, Druid(Desert), Ranger	Illusion	1 action	120 ft.	20 ft. radius sphere		1	10 minutes				Creatures in area are deafened, immune to thunder DMG, can't cast verbally.
Vampiric Touch	3	Cleric(Death), Warlock, Wizard	Necromancy	1 action	Self	Self		1	1 minute	Melee Spell Attack	Necrotic	DAM: 3d6	Each time you hit a target, you also HEAL half of the DAM you cause.
Greater Invisibility	4	Bard, Druid(Underdark), Sorcerer, Wizard	Illusion	1 action	Touch	Self or willing creature		1	1 minute				Become invisible until spell ends.
Tree Stride	5	Cleric(Nature), Druid, Paladin(Ancients), Ranger	Conjuration	1 action	Self	Self		1	1 minute				Enter one tree and emerge from another 500 ft. away. Use once per round.
Eldritch Blast	0	Warlock	Evocation	1 action	120 ft.	1 target			Instantaneous	Ranged Spell Attack	Force	DAM: 1d10	Beam. 2 beams at 5th level, 3 at 11th, 4 at 17th. Can choose different targets.
Warding Bond	2	Cleric	Abjuration	1 action	Touch	1 willing creature	pair of platinum rings		1 hour				Target (60ft) has +1 AC and saves, resistance to all DAM, shares DAM with you.
Hallow	5	Cleric	Evocation	24 hours	Touch	60 ft. radius	HERBS, OIL, INCENSE		Until Dispelled				Infuse area with holy or unholy power. See Sourcebook.
Arcane Lock	2	Wizard	Abjuration	1 action	Touch	1 openable object	GOLD DUST		Until Dispelled				Locks object until password is spoken or dispel/knock. Object break DC +10.
Meld into Stone	3	Cleric, Druid	Transmutation	1 action	Touch	Stone object or surface			8 hours				Meld into stone walls or large stone objects. See Sourcebook.
Tasha's Hideous Laughter	1	Bard, Wizard	Enchantment	1 action	30 ft.	1 creature	tiny tarts and a feather	1	1 minute	WIS (Fail)			Target (INT > 4) is prone, incapacitated, can't stand. WIS save each turn to end.
Modify Memory	5	Bard, Cleric(Trickery), Wizard	Enchantment	1 action	30 ft.			1	1 minute	WIS (Fail)			Reshape another creature's memories. See Sourcebook.
Mislead	5	Bard, Wizard	Illusion	1 action	Self	Self		1	1 hour				Become invisible and create illusory double. Use action to move your double.
Detect Evil and Good	1	Cleric, Paladin	Divination	1 action	Self	30 ft. radius		1	10 minutes				Know location of aberration,celestial,elemental,fey,fiend,undead,(un)holy ground.
Mass Suggestion	6	Bard, Sorcerer, Warlock, Wizard	Enchantment	1 action	60 ft.	<= 12 creatures	snake's tongue, honeycomb		24 hours	WIS (Fail)			Make creatures accept reasonable sounding suggestions. See Sourcebook.
Gaseous Form	3	Druid(Underdark), Sorcerer, Warlock, Wizard	Transmutation	1 action	Touch	1 willing creature	bit of gauze and wisp of smoke	1	1 hour				Cloud form. Fly(10ft.). Resist nonmagical DMG. STR/DEX/CON save advantage.
Resistance	0	Cleric, Druid	Abjuration	1 action	Touch	1 willing creature	miniature cloak	1	1 minute				Once before spell ends, add 1d4 to a saving throw. Roll before or after save.
Conjure Animals	3	Druid, Ranger	Conjuration	1 action	60 ft.			1	1 hour				Summon fey spirits as creatures (total CR <= 2) that act as a group.
Beacon of Hope	3	Cleric, Paladin(Devotion)	Abjuration	1 action	30 ft.	Any targets in range		1	1 hour				Targets get advantage on WIS and death saving throws; heal spells heal max.
Confusion	4	Bard, Cleric(Knowledge), Druid, Paladin(Oathbreaker), Sorcerer, Wizard	Enchantment	1 action	90 ft.	10 ft. radius sphere	3 nut shells	1	1 minute	WIS (Fail)			Targets can't take reactions and do random actions. See Sourcebook.
Spare the Dying	0	Cleric	Necromancy	1 action	Touch	1 living creature at 0 HP			Instantaneous				Stabilize dying creature. No effect on undead or constructs.
Speak with Plants	3	Bard, Druid, Ranger	Transmutation	1 action	Self	30 ft. radius			10 minutes				Animate plants to communicate with and perform tasks. See Sourcebook.
Eyebite	6	Bard, Sorcerer, Warlock, Wizard	Necromancy	1 action	Self	1 creature within 60 ft.		1	1 minute	WIS (Fail)			Affect targets negatively. New target each turn. See Sourcebook.
Hallucinatory Terrain	4	Bard, Druid, Warlock, Wizard	Illusion	10 minutes	300 ft.	150 ft. cube	stone, twig, bit of green plant		24 hours				Make natural terrain seem like other terrain. Investigation check to disbelieve.
Circle of Power	5	Paladin	Abjuration	1 action	Self	30 ft. radius sphere		1	10 minutes				Friendlies: advantage on saving throws against magic/effects. No half DAM.
Antimagic Field	8	Cleric, Wizard	Abjuration	1 action	10 ft. radius	Self	powdered iron or filings	1	1 hour				Erects a sphere around you in which all magic no longer works.
Protection from Evil and Good	1	Cleric, Paladin, Warlock, Wizard	Abjuration	1 action	Touch	1 willing creature	holy water or powdered silver	1	10 minutes				Protect against certain types of creatures. See Sourcebook.
Gentle Repose	2	Cleric, Wizard	Necromancy	1 action	Touch	1 corpse	salt and 1 cp on each eye		10 days				Preserves corpse. Extends time limit of Raise Dead spell.
Mage Armor	1	Sorcerer, Wizard	Abjuration	1 action	Touch	1 willing creature	piece of cured leather		8 hours				If target isn't wearing armor, its base AC becomes 13 + DEX modifier.
Detect Magic	1	Bard, Cleric, Druid, Paladin, Ranger, Sorcerer, Wizard	Divination	1 action	Self	30 ft. radius		1	10 minutes				Sense presence of magic. Use action to see auras around creatures/objects.
Revivify	3	Cleric, Paladin	Conjuration	1 action	Touch	1 creature	DIAMOND		Instantaneous				Raise creature that died within 1 minute to 1 HP. Doesn't restore missing parts.
Spider Climb	2	Druid(Forest,Mountain,Underdark), Sorcerer, Warlock, Wizard	Transmutation	1 action	Touch	1 willing creature	spider and drop of bitumen	1	1 hour				Target can walk on walls or ceiling. Climbing speed becomes walking speed.
Burning Hands	1	Cleric(Light), Sorcerer, Wizard	Evocation	1 action	Self	15 ft. cone			Instantaneous	DEX (Half DAM)	Fire	DAM: 3d6	Flammable objects ignite.
Mass Cure Wounds	5	Bard, Cleric, Druid	Conjuration	1 action	60 ft.	<= 6 creatures			Instantaneous			See Details.	Creatures HEAL 3d8 + casting ability modifier. No effect on undead/constructs.
Feeblemind	8	Bard, Druid, Warlock, Wizard	Enchantment	1 action	150 ft.	1 creature	clay,crystal,or mineral spheres		Instantaneous	INT (DMG, but no INT effect)	Psychic	DAM: 4d6	Creature INT and CHA scores become 1. See Sourcebook.
Flame Strike	5	Cleric, Paladin(Devotion)	Evocation	1 action	60 ft.	40 ft. high 10 ft. rad. cylinder	pinch of sulfur		Instantaneous	DEX (Half DAM)	Fire + Radiant	DAM: 4d6+4d6	Creatures take fire and radiant damage.
Alter Self	2	Sorcerer, Wizard	Transmutation	1 action	Self	Self		1	1 hour				Choose one: breathe/swim underwater, natural weapons, change appearance
Giant Insect	4	Druid	Transmutation	1 action	30 ft.	See Sourcebook.		1	10 minutes				Turn insects into giant insects that obey your commands.
Speak with Animals	1	Bard, Cleric(Nature), Druid, Paladin(Ancients), Ranger	Divination	1 action	Self	Self			10 minutes				Understand and speak to beasts. Get info about nearby locations and monsters.
Magic Mouth	2	Bard, Wizard	Illusion	1 minute	30 ft.	1 object	honeycomb and JADE DUST		Until Dispelled				Magic mouth repeats <= 25 word message once condition is met.
Stinking Cloud	3	Bard, Druid(Swamp,Underdark), Sorcerer, Wizard	Conjuration	1 action	90 ft.	20 ft. radius sphere	rotten egg or skunk cabbage	1	1 minute	CON (Fail)			Creatures that need to breathe spend turn retching. Wind disperses cloud.
Prismatic Wall	9	Wizard	Abjuration	1 action	60 ft.	90x30 ft wall or 30ft dia. sphere			Instantaneous	See Sourcebook.	See Sourcebook.	See Sourcebook.	Create multicolored barrier with various effects. See Sourcebook.
Poison Spray	0	Cleric(Nature), Druid, Sorcerer, Warlock, Wizard	Conjuration	1 action	10 ft.	1 creature			Instantaneous	CON (Fail)	Poison	DAM: 1d12	DAM increase. 5th level: 2d12, 11th level: 3d12, 17th level: 4d12.
Tenser's Floating Disk	1	Wizard	Conjuration	1 action	30 ft.	3 ft. diameter circle	drop of mercury		1 hour				Create floating disk that holds 500 lbs and stays within 20 ft. of you.
Wind Walk	6	Druid	Transmutation	1 minute	30 ft.	You and <= 10 willing creatures	fire and holy water		8 hours				Fly speed: 300 ft. Resist weapons.Only Dash in cloud form. Can revert to normal.
Symbol	7	Bard, Cleric, Wizard	Abjuration	1 minute	Touch	1 surface or object	Hg, P, DIAMOND and OPAL		Dispel/Triggered	See Sourcebook.	See Sourcebook.	See Sourcebook.	Inscribe harmful magical glyph on surface. See Sourcebook.
True Resurrection	9	Cleric, Druid	Necromancy	1 hour	Touch	1 creature dead <= 200 years	holy water, DIAMONDS		Instantaneous				Resurrect creature that didn't die of old age. Heals all wounds, effects, etc.
Awaken	5	Bard, Druid	Transmutation	8 hours	Touch	1 beast/plant <= Huge	AGATE		Instantaneous				Target with INT <= 3 gaints INT 10 and can speak. Charmed for 30 days.
Hex	1	Warlock	Enchantment	1 bonus action	90 ft.	1 creature	petrified eye of a newt	1	1 hour				Target takes 1d6 necrotic DAM when you hit it;disadvantage on ability of choice.
Divination	4	Cleric, Druid(Forest,Grassland)	Divination	1 action	Self		INCENSE, SAC. OFFERING		Instantaneous				Question about one event in next 7 days answered by phrase or omen.
Wall of Force	5	Wizard	Evocation	1 action	120 ft.	See Sourcebook.	powder from clear gemstone	1	10 minutes				Create impenetrable wall (even into Ethereal Plane) only unmade by Disintegrate.
Fly	3	Sorcerer, Warlock, Wizard	Transmutation	1 action	Touch	1 willing creature	bird's wing feather	1	10 minutes				Target gains fly (60 ft.). Fall if spell ends while in air.
Polymorph	4	Bard, Cleric(Trickery), Druid, Sorcerer, Wizard	Transmutation	1 action	60 ft.	1 creature	caterpillar cocoon	1	1 hour	WIS (Fail)			Transform creature's form. All stats change. Limited to actions of new form.
Heroes' Feast	6	Cleric, Druid	Conjuration	10 minutes	30 ft.	<= 12 feast goers	GEM--ENCRUSTED BOWL		Instantaneous				Cure:disease,poison.Immune:poison,fright.HP max +2d10,WIS save advantage.
Creation	5	Sorcerer, Wizard	Illusion	1 minute	30 ft.		bit of matter you want to make		See Sourcebook.				Make nonliving object no larger than 5 ft. cube. See Sourcebook.
Plane Shift	7	Cleric, Druid, Sorcerer, Warlock, Wizard	Conjuration	1 action	Touch	1 unwilling or Self + 8 willing	forked metal rod		Instantaneous	Melee Spell Attack + CHA (Fail)			Transport to another plane. You specify general location or teleportation circle.
Holy Aura	8	Cleric	Abjuration	1 action	Self	30 ft. radius sphere	reliquary containing sacred relic	1	1 minute				Aura helps allies and hurts enemies. See Sourcebook.
Chromatic Orb	1	Sorcerer, Wizard	Evocation	1 action	90 ft.	1 creature	diamond		Instantaneous	Ranged Spell Attack	See Details	DAM: 3d8	Choose type: acid, cold, fire, lightning, poison, or thunder.
Major Image	3	Bard, Sorcerer, Warlock, Wizard	Illusion	1 action	120 ft.	20 ft. cube	bit of fleece	1	10 minutes				Create image of object including sounds, smells. Investigation check to foil.
Aura of Purity	4	Paladin	Abjuration	1 action	Self	30 ft. radius		1	10 minutes				Gain poison resist, disease immune, advantage on status saving throws.
Seeming	5	Bard, Sorcerer, Wizard	Illusion	1 action	30 ft.	Any creatures in range			8 hours	CHA (Fail)			Disguise willing or unwillig creatures as other similar creatures, including outfits.
Incendiary Cloud	8	Sorcerer, Wizard	Conjuration	1 action	150 ft.	20 ft. radius sphere		1	1 minute	DEX every turn (Half DMG)	Fire	DAM: 10d8	Targets make save when cloud created or entering or exiting it. Cloud move: 10ft.
Hail of Thorns	1	Ranger	Conjuration	1 bonus action	Self	Self		1	1 minute	DEX (Half DAM)	Piercing	DAM: 1d10	Target hit by ranged attack and those adjacent who fail save hit by thorns.
